tick,cycles,kind,pc,ra,fn,mode,d4d4,scratch0,dest,d278,hp,d2e8,gp90,a0,a1,a2,a3,sp,s0,s1,note
106,0xef7e5cfe,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
107,0xef8f9632,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
108,0xefa0cf7d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
109,0xefb208ec,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
110,0xefc3424c,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
111,0xefd47b87,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
112,0xefe5b4ef,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
113,0xeff6ee73,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
114,0xf00827ce,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
115,0xf0196105,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
116,0xf02a9a8a,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
117,0xf03bd3c2,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
118,0xf04d1f93,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
119,0xf05e4688,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
120,0xf06f7fd3,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
121,0xf080b92b,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
122,0xf091f297,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
123,0xf0a32c0c,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
124,0xf0b46532,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
125,0xf0c59ec5,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
126,0xf0d6d827,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
127,0xf0e8116d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
128,0xf0f95cfc,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
129,0xf10a83d6,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
130,0xf11bbd10,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
131,0xf12cf66b,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
132,0xf13e3011,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
133,0xf14f6934,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
134,0xf160a2c0,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
135,0xf171dc2d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
136,0xf183154c,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
137,0xf1944edb,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
138,0xf1a58825,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
139,0xf1b6c164,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
140,0xf1c7faee,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
141,0xf1d9341d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
142,0xf1ea6d7d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
143,0xf1fba703,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
144,0xf20ce075,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
145,0xf21e198c,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
146,0xf22f531a,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
147,0xf2408c51,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
148,0xf251c5c3,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
149,0xf262feea,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
150,0xf2743850,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
151,0xf28571b5,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
152,0xf296ab2b,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
153,0xf2a7e463,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
154,0xf2b91db9,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
155,0xf2ca574f,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
156,0xf2db906b,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
157,0xf2ecc9db,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
158,0xf2fe0337,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
159,0xf30f3c7c,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
160,0xf3208846,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
161,0xf331af45,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
162,0xf342e8d4,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
163,0xf354222c,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
164,0xf3655b5d,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
165,0xf37694c2,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
166,0xf387ce13,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
167,0xf399077a,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
168,0xf3aa40d0,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
169,0xf3bb7a46,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
170,0xf3ccb375,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
171,0xf3ddece5,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
172,0xf3ef2666,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
173,0xf4005f96,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
174,0xf411ab70,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
175,0xf422d25f,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
176,0xf4340bb5,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
177,0xf44544f3,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
178,0xf4567e64,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
179,0xf467b7c9,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
180,0xf478f11a,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
181,0xf48a2a7f,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
182,0xf49b63f5,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
183,0xf4ac9d1f,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
184,0xf4bdd684,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
185,0xf4cf0fe7,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
186,0xf4e04943,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
187,0xf4f182a6,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
188,0xf502bbf5,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
189,0xf51407b0,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
190,0xf5252ee5,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
191,0xf5366840,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
192,0xf547a16f,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
193,0xf558dac3,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
194,0xf56a1414,OP55,0x800144fc,0x80017248,unknown,0x00000000,0x00,0x00000108,0xa8001248,0x00000000,-1,0x00000001,0x801a4a7c,0x801ffed0,0x00000001,0x00000001,0x801a4a78,0x801ffec0,0x801ffed0,0x80010690,battle_0x55
