tick,cycles,pc,ra,fn,old,new,d4d4,scratch0,dest,d278,hp,d2e8,gp90,a0,a1,a2,a3,sp,insn_words
0x0000014c,0x01a100c7,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000098,0x00000098,0x801ffd90,
0x0000014d,0x01b23a6c,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x000000a0,0x000000a0,0x801ffd90,
0x0000014e,0x01c3738a,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x000000a8,0x000000a8,0x801ffd90,
0x0000014f,0x01d4ad23,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x000000b0,0x000000b0,0x801ffd90,
0x00000150,0x01e5e693,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x000000b8,0x000000b8,0x801ffd90,
0x00000151,0x01f71fa5,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x000000c0,0x000000c0,0x801ffd90,
0x00000152,0x02085934,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x000000b8,0x000000b8,0x801ffd90,
0x00000153,0x0219928b,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x000000b0,0x000000b0,0x801ffd90,
0x00000154,0x022acbcf,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x000000a8,0x000000a8,0x801ffd90,
0x00000155,0x023c0552,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000028,0x000000a0,0x000000a0,0x801ffd90,
0x00000156,0x024d3ea0,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x00000034,0x00000000,0x00000098,0x00000098,0x801ffd90,
0x00000157,0x025e7aee,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x800b8628,0x800b8628,0x00000080,0x0000007f,0x801ffd90,
0x00000158,0x026fef13,0x8002a818,0x8002a810,unknown,0x00000001,0x00000001,0x01,0x0000011c,0xa8001248,0x800b8a20,34,0x00000005,0x801a0140,0x800b8628,0x800b8628,0x00000080,0x0000007f,0x801ffd90,
