scene,actor_type,script_rel,opcode,imm,bank,package,ida,idb,source_offset,size,frames,sha256,dest_slot,dest_field,writer,writer_va,first_consumer,publication_path,confidence,notes
m0005i,0,0x75C,0x2E,0x15,CE2=14,ce2_14_clip_bank,0,21,0xEF28,2776,34,194a37c66679857b8a4ca3e8df72b3812cb5fafb2e03dbeb45c9e79b3fda1537,D_800B0E98[0*192+21*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN,do not name clip from appearance
m0005i,0,0x8AC,0x2E,0x1F,WriterA,room_hdr+0x10,0,31,0x1396C,4716,40,77343a19f342efda44e564306c077ce8cf53667ae3264f460fcdf6b91c64287f,D_800B0E98[0*192+31*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,0,0x8C4,0x2F,0xF,frame_cap,,0,0x1F,,,15,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x1F WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,0,0xC4C,0x2E,0x20,WriterA,room_hdr+0x10,0,32,0x14BD8,1344,22,51e84dd712d7a9869459edd14080efec19316365fd8e15b9e15480143175660f,D_800B0E98[0*192+32*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,0,0xC64,0x2F,0xC,frame_cap,,0,0x20,,,12,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x20 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,0,0xD38,0x2E,0x20,WriterA,room_hdr+0x10,0,32,0x14BD8,1344,22,51e84dd712d7a9869459edd14080efec19316365fd8e15b9e15480143175660f,D_800B0E98[0*192+32*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,0,0xD50,0x2F,0x1,frame_cap,,0,0x20,,,1,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x20 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,0,0x1210,0x2E,0x1C,CE2=14,ce2_14_clip_bank,0,28,0x5D40,3796,69,cabc0c490153091a3d83b5f79da71c108d1cbe5004276ccae70707397e25e85e,D_800B0E98[0*192+28*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN,do not name clip from appearance
m0005i,0,0x1228,0x2F,0x24,frame_cap,,0,0x1C,,,36,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x1C CE2=14,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,0,0x1260,0x2E,0x1C,CE2=14,ce2_14_clip_bank,0,28,0x5D40,3796,69,cabc0c490153091a3d83b5f79da71c108d1cbe5004276ccae70707397e25e85e,D_800B0E98[0*192+28*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN,do not name clip from appearance
m0005i,0,0x1278,0x2F,0x5A,frame_cap,,0,0x1C,,,90,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x1C CE2=14,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,2,0xE4,0x2E,0x06,WriterA,room_hdr+0x10,2,6,0x16978,2352,39,95a5c9ea40702959b122f8ff46a9dfb274f1adb69a6b661822226c3b23028412,D_800B0E98[2*192+6*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0xFC,0x2F,0x27,frame_cap,,2,0x06,,,39,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x06 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,2,0x140,0x2E,0x02,WriterA,room_hdr+0x10,2,2,0x15118,3180,60,8314abb4cb5fe14ef3eee7f07d5964542f573cccc01ebc50ffb278cd600400b2,D_800B0E98[2*192+2*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x17C,0x2E,0x13,WriterA,room_hdr+0x10,2,19,0x18734,6300,108,9a621ed919f012f99d70ebfd5dc7e8844348d1ddd5ee262e6a947d00382a2063,D_800B0E98[2*192+19*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x194,0x2F,0x6C,frame_cap,,2,0x13,,,108,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x13 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,2,0x1B8,0x2E,0x02,WriterA,room_hdr+0x10,2,2,0x15118,3180,60,8314abb4cb5fe14ef3eee7f07d5964542f573cccc01ebc50ffb278cd600400b2,D_800B0E98[2*192+2*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x1F4,0x2E,0x14,WriterA,room_hdr+0x10,2,20,0x19FD0,3720,60,40e8b1c793d4dd69adcfff3fb83968c1ea83307dbb60f92070da441fab1df572,D_800B0E98[2*192+20*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x20C,0x2F,0x3C,frame_cap,,2,0x14,,,60,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x14 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,2,0x230,0x2E,0x02,WriterA,room_hdr+0x10,2,2,0x15118,3180,60,8314abb4cb5fe14ef3eee7f07d5964542f573cccc01ebc50ffb278cd600400b2,D_800B0E98[2*192+2*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x26C,0x2E,0x15,WriterA,room_hdr+0x10,2,21,0x1AE58,9564,156,4be88f266de1bfbae5256db7dfaf153c1844f0ba5316997e4cedf6e2ff92c237,D_800B0E98[2*192+21*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x284,0x2F,0x9C,frame_cap,,2,0x15,,,156,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x15 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,2,0x2A8,0x2E,0x02,WriterA,room_hdr+0x10,2,2,0x15118,3180,60,8314abb4cb5fe14ef3eee7f07d5964542f573cccc01ebc50ffb278cd600400b2,D_800B0E98[2*192+2*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x2E4,0x2E,0x16,WriterA,room_hdr+0x10,2,22,0x1D3B4,8180,126,156bf04dbc4e4e0cbbe7bf10d808a1e6b0e4ce700d3133771bba9814cfb129cd,D_800B0E98[2*192+22*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x2FC,0x2F,0x7E,frame_cap,,2,0x16,,,126,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x16 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,2,0x3A8,0x2E,0x17,WriterA,room_hdr+0x10,2,23,0x1F3A8,3540,51,620acc5e9bc9b3524ca0c7018549583a418e2e70e5f42c1520da8b78217f6928,D_800B0E98[2*192+23*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,2,0x3C0,0x2F,0x33,frame_cap,,2,0x17,,,51,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x17 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,5,0x80,0x2E,0x02,WriterA,room_hdr+0x10,5,2,0x20210,60,1,b4fde2e5ad1067fabdca7bd9c1856c5e6608998f72b43f2ce561051b3ab1bb25,D_800B0E98[5*192+2*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,5,0x98,0x2F,0x0,frame_cap,,5,0x02,,,0,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x02 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0005i,5,0xB8,0x2E,0x00,WriterA,room_hdr+0x10,5,0,0x2017C,60,1,2246b5cf1e77b334341c4b356b0d0955ef863810c8000c69eaefb4512f4ba761,D_800B0E98[5*192+0*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0005i,5,0xD0,0x2F,0x0,frame_cap,,5,0x00,,,0,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x00 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0367i,0,0xC0,0x2E,0x15,CE2=14_cleared_by_6B35C,ce2_14_clip_bank,0,21,0xEF28,2776,34,194a37c66679857b8a4ca3e8df72b3812cb5fafb2e03dbeb45c9e79b3fda1537,D_800B0E98[0*192+21*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN_GAP,do not name clip from appearance
m0367i,0,0xFC,0x2E,0x15,CE2=14_cleared_by_6B35C,ce2_14_clip_bank,0,21,0xEF28,2776,34,194a37c66679857b8a4ca3e8df72b3812cb5fafb2e03dbeb45c9e79b3fda1537,D_800B0E98[0*192+21*4],actor+0x1B0,func_8006C140,0x8006C158,func_80017AE8 -> func_8001A680,6C140 Writer B,PROVEN_GAP,do not name clip from appearance
m0367i,2,0x94,0x2E,0x09,WriterA,room_hdr+0x10,2,9,0x10E7C,300,1,6bd22d6ce60cab2b0d70ec11433cd51d321394b9f9d1533da14ec8b02e970eb3,D_800B0E98[2*192+9*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0367i,3,0x84,0x2E,0x09,WriterA,room_hdr+0x10,3,9,0x10E7C,300,1,6bd22d6ce60cab2b0d70ec11433cd51d321394b9f9d1533da14ec8b02e970eb3,D_800B0E98[3*192+9*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0367i,4,0xF0,0x2E,0x07,WriterA,room_hdr+0x10,4,7,0x17688,4888,90,685f3ea8a841b2d5251d23c160922ad6141ef49839ad60424ed5b2995799c470,D_800B0E98[4*192+7*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0367i,4,0x108,0x2F,0x2D,frame_cap,,4,0x07,,,45,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x07 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0367i,4,0x174,0x2E,0x07,WriterA,room_hdr+0x10,4,7,0x17688,4888,90,685f3ea8a841b2d5251d23c160922ad6141ef49839ad60424ed5b2995799c470,D_800B0E98[4*192+7*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
m0367i,4,0x18C,0x2F,0x2D,frame_cap,,4,0x07,,,45,,,actor+0x12,func_80017B34,0x80017B34,"func_80017B34 min(+0x0F, imm)",after_0x2E 0x07 WriterA,PROVEN,cap vs +0x0F=frames-1; not a command ID
m0367i,4,0x1E8,0x2E,0x01,WriterA,room_hdr+0x10,4,1,0x11F54,1712,42,b4331c8a7880b8ac5752515f68935cf5199cd8703ee2482ea5ef895e19268e5c,D_800B0E98[4*192+1*4],actor+0x1B0,func_8006B84C,0x8006B84C,func_80017AE8 -> func_8001A680,6B84C Writer A,PROVEN,do not name clip from appearance
